FECHA,HORA,TEMPERATURA (degree C),PRECIPITACION (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (degree),VELOCIDAD DEL VIENTO (m/s)
01/01/2021,00:00,20.7,0,83,187,2.9
01/01/2021,01:00,20.3,0,85,169,1.9
01/01/2021,02:00,20,0,87,115,1.3
01/01/2021,03:00,18.9,0,93,112,1.4
01/01/2021,04:00,18.6,0,96,180,1
01/01/2021,05:00,19.5,0,92,187,0.9
01/01/2021,06:00,20.2,0,86,184,1.4
01/01/2021,07:00,19.4,0,91,135,1
01/01/2021,08:00,21,0,86,158,1.1
01/01/2021,09:00,23.2,0,76,110,1
01/01/2021,10:00,25.4,0,65,210,1
01/01/2021,11:00,27.3,0,59,353,0.5
01/01/2021,12:00,28.5,0,55,193,2.7
01/01/2021,13:00,29.2,0,53,199,2.8
01/01/2021,14:00,30.2,0,50,157,2.3
01/01/2021,15:00,30.3,0,50,203,4.7
01/01/2021,16:00,29.6,0,51,207,6.3
01/01/2021,17:00,27.4,0,58,202,5.2
01/01/2021,18:00,25.9,0,62,194,5.7
01/01/2021,19:00,24.5,0,66,191,5.6
01/01/2021,20:00,23.6,0,71,183,2.9
01/01/2021,21:00,22.9,0,77,191,3.1
01/01/2021,22:00,23,0,73,194,3.4
01/01/2021,23:00,22.8,0,74,190,3.4
02/01/2021,00:00,22.3,0,76,180,2.3
02/01/2021,01:00,22.2,0,76,185,2.4
02/01/2021,02:00,22,0,78,187,2.3
02/01/2021,03:00,21.4,0,80,188,2.4
02/01/2021,04:00,21.2,0,81,191,2.1
02/01/2021,05:00,20.8,0,81,193,1.9
02/01/2021,06:00,20.3,0,82,171,1.3
02/01/2021,07:00,20.1,0,83,185,2
02/01/2021,08:00,20.9,0,81,183,1.5
02/01/2021,09:00,22.8,0,75,262,0.8
02/01/2021,10:00,24.5,0,68,300,1.5
02/01/2021,11:00,27.5,0,58,314,2
02/01/2021,12:00,30.1,0,50,206,1.9
02/01/2021,13:00,30.5,0,50,197,4.1
02/01/2021,14:00,30,0,51,203,4.3
02/01/2021,15:00,30,0,51,198,5.1
02/01/2021,16:00,28.8,0,54,207,6.7
02/01/2021,17:00,27,0,59,195,6.4
02/01/2021,18:00,24.8,0,65,191,5.2
02/01/2021,19:00,23.4,0,72,180,5.3
02/01/2021,20:00,22,0,80,192,4.6
02/01/2021,21:00,21.1,0,87,189,3.9
02/01/2021,22:00,20.8,0,90,184,4
02/01/2021,23:00,20.7,0,90,177,2.8
03/01/2021,00:00,20.3,0.1,94,165,1.7
03/01/2021,01:00,20,0,98,109,1.3
03/01/2021,02:00,19.9,0,100,96,0.6
03/01/2021,03:00,19.9,0,100,88,0.7
03/01/2021,04:00,19.9,0,100,142,1.5
03/01/2021,05:00,19.5,0,100,122,1.3
03/01/2021,06:00,19.7,0,100,182,2.3
03/01/2021,07:00,19.8,0,100,159,0.8
03/01/2021,08:00,21.1,0,94,181,1.9
03/01/2021,09:00,23.2,0,83,178,1.6
03/01/2021,10:00,23.9,0,80,182,2.8
03/01/2021,11:00,26.4,0,70,186,2.2
03/01/2021,12:00,28.7,0,60,190,3.3
03/01/2021,13:00,30.2,0,56,201,3.7
03/01/2021,14:00,30.7,0,54,200,4.5
03/01/2021,15:00,30.1,0,54,208,7.1
03/01/2021,16:00,28.7,0,56,196,7.2
03/01/2021,17:00,27.5,0,60,193,7.9
03/01/2021,18:00,25.1,0,67,192,7.4
03/01/2021,19:00,23.3,0,72,188,6.1
03/01/2021,20:00,22.3,0,77,185,5.6
03/01/2021,21:00,21.2,0,85,185,4.5
03/01/2021,22:00,20.7,0,87,186,3.6
03/01/2021,23:00,20.4,0,89,186,2.9
04/01/2021,00:00,20.6,0,88,185,1.9
04/01/2021,01:00,20.3,0,89,157,1.4
04/01/2021,02:00,20.3,0,90,188,2.5
04/01/2021,03:00,20,0,91,119,1.2
04/01/2021,04:00,19.8,0,93,174,1.3
04/01/2021,05:00,19.8,0,93,133,0.7
04/01/2021,06:00,19.7,0,96,1,S/D
04/01/2021,07:00,19.9,0,96,155,1
04/01/2021,08:00,20.8,0,91,187,1.4
04/01/2021,09:00,21.7,0,87,187,1
04/01/2021,10:00,23.7,0,76,224,0.9
04/01/2021,11:00,25.1,0,70,187,2.6
04/01/2021,12:00,28.2,0,59,198,2.3
04/01/2021,13:00,29.6,0,54,211,3.6
04/01/2021,14:00,30.6,0,51,206,3.5
04/01/2021,15:00,30.6,0,51,204,7
04/01/2021,16:00,29,0,55,204,7.2
04/01/2021,17:00,27.2,0,61,199,7
04/01/2021,18:00,25.4,0,67,197,5.8
04/01/2021,19:00,24.1,0,71,190,4.9
04/01/2021,20:00,23.4,0,73,178,3.6
04/01/2021,21:00,22.8,0,76,175,2.9
04/01/2021,22:00,22.7,0,78,188,2.2
04/01/2021,23:00,22.4,0,80,136,1.3
05/01/2021,00:00,22,0,83,114,1.1
05/01/2021,01:00,21.7,0,86,188,0.9
05/01/2021,02:00,21.7,0,84,178,1.1
05/01/2021,03:00,21.5,0,86,149,0.9
05/01/2021,04:00,20.8,0,89,188,1.7
05/01/2021,05:00,20.3,0,91,181,1
05/01/2021,06:00,19.2,0,96,140,0.9
05/01/2021,07:00,19.7,0,98,171,0.9
05/01/2021,08:00,22,0,86,175,1.3
05/01/2021,09:00,24.3,0,74,172,0.9
05/01/2021,10:00,27,0,62,272,0.5
05/01/2021,11:00,28.2,0,57,196,3.3
05/01/2021,12:00,28.7,0,57,188,4
05/01/2021,13:00,29.4,0,54,196,2.5
05/01/2021,14:00,30.8,0,51,187,3.2
05/01/2021,15:00,30.5,0,51,204,6.4
05/01/2021,16:00,29.1,0,54,206,7.5
05/01/2021,17:00,27.6,0,56,197,6.6
05/01/2021,18:00,25.6,0,62,194,6.5
05/01/2021,19:00,24.4,0,64,194,5.2
05/01/2021,20:00,23.6,0,67,193,3.5
05/01/2021,21:00,22.2,0,74,169,2
05/01/2021,22:00,21.7,0,79,182,3
05/01/2021,23:00,21.4,0,82,179,2.1
06/01/2021,00:00,21.2,0,82,100,1.5
06/01/2021,01:00,20.1,0,88,114,0.7
06/01/2021,02:00,20.2,0,89,128,0.8
06/01/2021,03:00,20.6,0,89,142,0.8
06/01/2021,04:00,20.5,0,88,198,1.6
06/01/2021,05:00,19.8,0,90,138,1.3
06/01/2021,06:00,19.3,0,95,90,1
06/01/2021,07:00,19.5,0,95,1,S/D
06/01/2021,08:00,22.8,0,82,227,0.7
06/01/2021,09:00,24.2,0,70,258,0.7
06/01/2021,10:00,25.3,0,67,169,1.1
06/01/2021,11:00,26.1,0,63,188,2.2
06/01/2021,12:00,27.4,0,58,218,0.9
06/01/2021,13:00,28.9,0,54,205,2.3
06/01/2021,14:00,30.2,0,50,171,4.1
06/01/2021,15:00,30.3,0,50,203,5.8
06/01/2021,16:00,29,0,53,198,5.6
06/01/2021,17:00,27.5,0,56,191,5.9
06/01/2021,18:00,25.9,0,60,193,5.7
06/01/2021,19:00,25.1,0,62,190,5
06/01/2021,20:00,24.4,0,65,187,4.3
