Date,Time,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,THW Index,THSW Index,Bar,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,UV  Index,UV  Dose,Hi  UV,Heat D-D,Cool D-D,In  Temp,In Hum,In  Dew,In  Heat,In  EMC,In Air Density,ET,Wind Samp,Wind Tx,ISS  Recept,Arc. Int.
1/10/2021,01:00,17.8,17.8,15.9,89,15.9,0,N,0,1.6,N,17.8,18.2,18.2,19.6,1013.4,0,0,176,15.14,357,0.4,0.17,1,0.023,0,22.8,61,14.9,23,11.13,1.1735,0.1,1403,1,100,60
1/10/2021,02:00,20.5,20.5,17.8,79,16.7,0,N,0,1.6,N,20.5,21.2,21.2,26.2,1013.1,0,0,439,37.76,545,1.8,0.77,2.7,0,0.09,23.9,60,15.7,24.1,10.95,1.168,0.25,1406,1,100,60
1/10/2021,03:00,23.5,23.5,20.5,69,17.5,0,ENE,0,9.7,SE,23.5,24.1,24.1,31.8,1013,0,0,636,54.7,712,3.6,1.54,4.4,0,0.215,25.1,58,16.2,25.3,10.47,1.1625,0.38,1404,1,100,60
1/10/2021,04:00,24.8,24.8,23.4,66,18,0,N,0,11.3,NW,24.8,25.4,25.4,35.1,1012.3,0,0,782,67.26,846,5.5,2.36,6.7,0,0.269,26.1,56,16.6,26.4,10.09,1.1573,0.48,1405,1,100,60
1/10/2021,05:00,24.8,24.8,24,64,17.6,0,ENE,0,14.5,NE,24.8,25.3,25.3,36.2,1011,0,0,871,74.92,907,7.2,3.09,7.7,0,0.271,26.4,54,16.4,26.7,9.76,1.1546,0.53,1405,1,100,60
1/10/2021,06:00,25.8,26,24.8,60,17.5,1.6,ENE,1.61,14.5,NNE,25.8,26.3,26.3,36.9,1010,0,0,850,73.11,951,6.7,2.87,7.7,0,0.313,27.4,52,16.7,27.8,9.42,1.1494,0.53,1405,1,100,60
1/10/2021,07:00,25.9,26.3,25.8,59,17.3,1.6,ENE,1.61,17.7,NNW,25.9,26.4,26.4,39.7,1008.7,0,0,622,53.5,879,5.3,2.27,7.8,0,0.317,28.3,50,16.9,28.8,9.09,1.144,0.43,1405,1,100,60
1/10/2021,08:00,24.1,25.9,24.1,64,16.9,3.2,ENE,3.22,19.3,NE,24.1,24.6,24.6,32.9,1008.4,0,0,626,53.84,772,3.9,1.67,4.7,0,0.241,28.1,50,16.7,28.5,9.1,1.1447,0.41,1405,1,100,60
1/10/2021,09:00,22.2,24.1,22.2,71,16.7,3.2,ENE,3.22,19.3,E,22.2,22.6,22.6,28.1,1008.6,0,0,488,41.97,615,2.1,0.9,3.2,0,0.16,27.5,51,16.5,27.8,9.32,1.1476,0.3,1405,1,100,60
1/10/2021,10:00,19.7,22.2,19.7,78,15.8,3.2,ENE,3.22,19.3,ENE,19.7,20.2,20.2,23.3,1009,0,0,285,24.51,397,0.7,0.3,1.3,0,0.058,26.2,54,16.2,26.4,9.77,1.1534,0.18,1405,1,100,60
