ID GEE,Fecha Precisa,Fecha Corta,Año,Mes,Día,Día Juliano,CLOUD_COVER,SUN_ELEVATION
LANDSAT/LC08/C01/T1/LC08_010065_20210102,2021-01-02 15:28:34.101,2021-01-02,2021,1,2,2,40.61,58.10586929321289
LANDSAT/LC08/C01/T1/LC08_010065_20210203,2021-02-03 15:28:25.244,2021-02-03,2021,2,3,34,2.62,58.032691955566406
LANDSAT/LC08/C01/T1/LC08_010065_20210307,2021-03-07 15:28:13.534,2021-03-07,2021,3,7,66,35.3,59.425697326660156
LANDSAT/LC08/C01/T1/LC08_010065_20210323,2021-03-23 15:28:06.322,2021-03-23,2021,3,23,82,11.67,59.27070236206055
LANDSAT/LC08/C01/T1/LC08_010065_20210408,2021-04-08 15:28:01.927,2021-04-08,2021,4,8,98,48.31,58.055824279785156
LANDSAT/LC08/C01/T1/LC08_010065_20210424,2021-04-24 15:27:54.495,2021-04-24,2021,4,24,114,28.75,55.9012565612793
LANDSAT/LC08/C01/T1/LC08_010065_20210510,2021-05-10 15:27:49.775,2021-05-10,2021,5,10,130,9.94,53.30494689941406
LANDSAT/LC08/C01/T1/LC08_010065_20210526,2021-05-26 15:27:59.826,2021-05-26,2021,5,26,146,88.94,50.88821792602539
LANDSAT/LC08/C01/T1/LC08_010065_20210611,2021-06-11 15:28:06.858,2021-06-11,2021,6,11,162,97.44,49.15030288696289
LANDSAT/LC08/C01/T1/LC08_010065_20210627,2021-06-27 15:28:11.059,2021-06-27,2021,6,27,178,88.26,48.49259567260742
LANDSAT/LC08/C01/T1/LC08_010065_20210713,2021-07-13 15:28:12.418,2021-07-13,2021,7,13,194,82.47,49.124855041503906
LANDSAT/LC08/C01/T1/LC08_010065_20210729,2021-07-29 15:28:20.132,2021-07-29,2021,7,29,210,96.47,51.062225341796875
LANDSAT/LC08/C01/T1/LC08_010065_20210814,2021-08-14 15:28:26.458,2021-08-14,2021,8,14,226,61.22,54.09607696533203
LANDSAT/LC08/C01/T1/LC08_010065_20210830,2021-08-30 15:28:31.022,2021-08-30,2021,8,30,242,84.47,57.82030487060547
LANDSAT/LC08/C01/T1/LC08_010065_20210915,2021-09-15 15:28:34.999,2021-09-15,2021,9,15,258,74.76,61.591060638427734
LANDSAT/LC08/C01/T1/LC08_010065_20211001,2021-10-01 15:28:39.556,2021-10-01,2021,10,1,274,72.18,64.58724212646484
LANDSAT/LC08/C01/T1/LC08_010065_20211017,2021-10-17 15:28:43.526,2021-10-17,2021,10,17,290,71.68,65.983154296875
LANDSAT/LC08/C01/T1/LC08_010065_20211102,2021-11-02 15:28:43.159,2021-11-02,2021,11,2,306,29.16,65.48523712158203
LANDSAT/LC08/C01/T1/LC08_010065_20211118,2021-11-18 15:28:37.613,2021-11-18,2021,11,18,322,49.67,63.593875885009766
LANDSAT/LC08/C01/T1/LC08_010065_20211204,2021-12-04 15:28:39.679,2021-12-04,2021,12,4,338,41.52,61.23130416870117
LANDSAT/LC08/C01/T1/LC08_010065_20211220,2021-12-20 15:28:37.250,2021-12-20,2021,12,20,354,67.49,59.1965446472168
