FECHA,HORA,TEMPERATURA (degree C),PRECIPITACION (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (degree),VELOCIDAD DEL VIENTO (m/s)
2021-01-02,15:00,30.0,0.0,51.0,198.0,5.1
2021-02-03,15:00,30.7,0.0,49.0,205.0,7.5
2021-03-07,15:00,29.7,0.0,61.0,200.0,4.9
2021-03-23,15:00,31.3,0.0,52.0,204.0,5.1
2021-04-08,15:00,29.0,0.0,70.0,141.0,0.7
2021-04-24,15:00,28.9,0.0,60.0,196.0,5.4
2021-05-10,15:00,28.6,0.0,56.0,198.0,4.5
2021-05-26,15:00,26.2,0.0,68.0,195.0,6.2
2021-06-11,15:00,22.0,0.0,81.0,196.0,3.5
2021-06-27,15:00,25.4,0.0,62.0,196.0,5.6
2021-07-13,15:00,26.5,0.0,62.0,196.0,6.3
2021-07-29,15:00,23.9,0.0,74.0,184.0,3.5
2021-08-14,15:00,27.9,0.0,56.0,201.0,7.2
2021-08-30,15:00,27.6,0.0,57.0,192.0,4.4
2021-09-15,15:00,26.5,0.0,57.0,197.0,6.9
2021-10-01,15:00,29.5,0.0,50.0,202.0,6.2
2021-10-17,15:00,26.2,0.0,62.0,193.0,5.8
2021-11-02,15:00,28.4,0.0,52.0,199.0,7.1
2021-11-18,15:00,28.1,0.0,57.0,202.0,7.4
2021-12-04,15:00,27.2,0.0,67.0,203.0,7.1
2021-12-20,15:00,29.4,0.0,56.0,193.0,5.0
